Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
IOTS,Adesto Technologies Corporation,1.7,26332916.7,n/a,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ACY,AeroCentury Corp.,9.4,14726970.6,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
WGA,"AG&E Holdings, Inc.",0.23,2679270,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/wga
BOSC,B.O.S. Better Online Solutions,2.4,6386767.2,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bosc
BDR,"Blonder Tongue Laboratories, Inc.",0.54,4372810.38,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BLIN          ,"Bridgeline Digital, Inc.",0.65,12130344.85,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blin
BVSN,"BroadVision, Inc.",5.09,25187803.92,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bvsn
CVR,Chicago Rivet & Machine Co.,33.6,32462035.2,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CNIT,"China Information Technology, Inc.",0.8875,35598653.61,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit
CNET,"ChinaNet Online Holdings, Inc.",1.39,16900021.71,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/cnet
CLNT,"Cleantech Solutions International, Inc.",0.8001,4189712.449,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt
CNXR,"Connecture, Inc.",1.9,42455051.6,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnxr
COYN,"COPsync, Inc.",1.05,9361298.1,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/coyn
